"Time","Frequency (Hz)","Level (dBm)","Level_1 (dBm)","Level_2 (dBm)","Level_3 (dBm)","Value Count","File Info"
"2020-12-05  17:20:00,000","    74880000","-114,6","   6,5","-128,8","-104,8","20",
"2020-12-05  17:20:00,000","    74885000","-113,6","   4,1","-122,9","-105,3","20",
"2020-12-05  17:20:00,000","    74890000","-115,5","   7,3","-139,7","-107,6","20",
"2020-12-05  17:20:00,000","    74895000","-113,8","   5,8","-131,1","-106,0","20",
"2020-12-05  17:20:00,000","    74900000","-114,1","   4,9","-125,3","-106,1","20",
"2020-12-05  17:20:00,000","    74905000","-115,0","   7,2","-130,7","-104,8","20",
"2020-12-05  17:20:00,000","    74910000","-113,9","   5,9","-126,2","-107,6","20",
"2020-12-05  17:20:00,000","    74915000","-112,3","   2,6","-117,2","-106,8","20",
"2020-12-05  17:20:00,000","    74920000","-113,1","   3,8","-119,5","-107,0","20",
"2020-12-05  17:20:00,000","    74925000","-114,2","   6,4","-130,8","-106,0","20",
"2020-12-05  17:20:00,000","    74930000","-113,1","   8,9","-148,0","-104,6","20",
"2020-12-05  17:20:00,000","    74935000","-112,8","   5,1","-123,4","-106,4","20",
"2020-12-05  17:20:00,000","    74940000","-113,8","   4,4","-121,2","-105,6","20",
"2020-12-05  17:20:00,000","    74945000","-115,4","   5,4","-127,8","-107,6","20",
"2020-12-05  17:20:00,000","    74950000","-114,3","   4,8","-124,5","-107,5","20",
"2020-12-05  17:20:00,000","    74955000","-113,5","   6,5","-129,9","-105,6","20",
"2020-12-05  17:20:00,000","    74960000","-115,3","   6,0","-128,4","-107,5","20",
"2020-12-05  17:20:00,000","    74965000","-114,0","   6,1","-132,3","-105,1","20",
"2020-12-05  17:20:00,000","    74970000","-115,1","   7,5","-134,8","-106,5","20",
"2020-12-05  17:20:00,000","    74975000","-114,9","   5,3","-127,9","-106,3","20",
"2020-12-05  17:20:00,000","    74980000","-114,6","   5,1","-126,6","-107,1","20",
"2020-12-05  17:20:00,000","    74985000","-113,2","   5,3","-124,9","-105,9","20",
"2020-12-05  17:20:00,000","    74990000","-113,2","   6,4","-132,8","-105,0","20",
"2020-12-05  17:20:00,000","    74995000","-113,4","   6,6","-135,4","-103,2","20",
"2020-12-05  17:20:00,000","    75000000","-111,8","   5,0","-121,0","-103,8","20",
"2020-12-05  17:20:00,000","    75005000","-112,9","   4,4","-121,4","-106,4","20",
"2020-12-05  17:20:00,000","    75010000","-113,7","   3,0","-120,3","-106,9","20",
"2020-12-05  17:20:00,000","    75015000","-113,7","   6,2","-132,3","-106,6","20",
"2020-12-05  17:20:00,000","    75020000","-112,5","   3,9","-124,9","-108,4","20",
"2020-12-05  17:20:00,000","    75025000","-113,4","   5,5","-128,7","-106,4","20",
"2020-12-05  17:20:00,000","    75030000","-113,4","   5,1","-123,9","-106,5","20",
"2020-12-05  17:20:00,000","    75035000","-114,4","   5,8","-128,0","-106,2","20",
"2020-12-05  17:20:00,000","    75040000","-113,8","   5,7","-125,1","-107,1","20",
"2020-12-05  17:20:00,000","    75045000","-114,6","   5,8","-129,4","-105,7","20",
"2020-12-05  17:20:00,000","    75050000","-115,1","   5,4","-122,8","-105,2","20",
"2020-12-05  17:20:00,000","    75055000","-115,9","   6,2","-128,5","-102,5","20",
"2020-12-05  17:20:00,000","    75060000","-115,3","   6,3","-129,5","-104,2","20",
"2020-12-05  17:20:00,000","    75065000","-114,5","   4,1","-124,8","-109,4","20",
"2020-12-05  17:20:00,000","    75070000","-114,6","   4,7","-123,4","-104,5","20",
"2020-12-05  17:20:00,000","    75075000","-116,3","   7,4","-132,7","-102,8","20",
"2020-12-05  17:20:00,000","    75080000","-114,1","   4,0","-121,8","-105,4","20",
"2020-12-05  17:20:00,000","    75085000","-113,1","   4,5","-121,3","-107,3","20",
"2020-12-05  17:20:00,000","    75090000","-113,6","   5,4","-127,2","-106,5","20",
"2020-12-05  17:20:00,000","    75095000","-113,8","   5,1","-125,0","-106,7","20",
"2020-12-05  17:20:00,000","    75100000","-116,2","   5,4","-127,5","-108,4","20",
"2020-12-05  17:20:00,000","    75105000","-115,3","   5,0","-128,1","-108,2","20",
"2020-12-05  17:20:00,000","    75110000","-113,7","   5,8","-132,7","-106,6","20",
"2020-12-05  17:20:00,000","    75115000","-114,7","   5,8","-128,2","-106,6","20",
"2020-12-05  17:20:00,000","    75120000","-115,0","   4,5","-122,1","-107,1","20",
"2020-12-05  17:20:00,000","    75125000","-114,3","   5,4","-125,6","-106,6","20",
"2020-12-05  17:20:00,000","    75130000","-114,0","   6,1","-130,5","-104,8","20",
"2020-12-05  17:20:00,000","    75135000","-113,1","   6,0","-126,7","-103,1","20",
"2020-12-05  17:20:00,000","    75140000","-111,9","   5,0","-119,6","-103,4","20",
"2020-12-05  17:20:00,000","    75145000","-114,5","   5,9","-125,9","-104,9","20",
"2020-12-05  17:20:00,000","    75150000","-117,3","   6,9","-130,7","-106,4","20",
