"Time","Frequency (Hz)","Level (dBm)","Level_1 (dBm)","Level_2 (dBm)","Level_3 (dBm)","Value Count","File Info"
"17/12/2020  14:24:00,000","    65000000"," -89,3","   4,8","-100,8"," -79,9","34",
"17/12/2020  14:24:00,000","    66000000"," -90,4","   6,6","-105,1"," -80,5","34",
"17/12/2020  14:24:00,000","    67000000"," -89,3","   5,3","-104,8"," -80,7","34",
"17/12/2020  14:24:00,000","    68000000"," -90,0","   5,0","-102,3"," -82,1","34",
"17/12/2020  14:24:00,000","    69000000"," -92,0","   7,0","-112,4"," -82,7","34",
"17/12/2020  14:24:00,000","    70000000"," -90,4","   4,9","-109,1"," -83,5","34",
"17/12/2020  14:24:00,000","    71000000"," -91,0","   5,1","-107,0"," -84,5","34",
"17/12/2020  14:24:00,000","    72000000"," -91,7","   4,5","-100,2"," -83,5","34",
"17/12/2020  14:24:00,000","    73000000"," -93,0","   6,7","-111,6"," -83,3","34",
"17/12/2020  14:24:00,000","    74000000"," -94,3","   6,3","-115,4"," -82,9","34",
"17/12/2020  14:24:00,000","    75000000"," -92,7","   4,4","-101,6"," -83,1","34",
"17/12/2020  14:24:00,000","    76000000"," -91,8","   5,3","-102,7"," -84,1","34",
"17/12/2020  14:24:00,000","    77000000"," -91,4","   5,6","-105,6"," -83,9","34",
"17/12/2020  14:24:00,000","    78000000"," -92,3","   6,3","-109,4"," -82,0","34",
"17/12/2020  14:24:00,000","    79000000"," -92,6","   6,2","-111,0"," -81,8","34",
"17/12/2020  14:24:00,000","    80000000"," -91,2","   3,6"," -97,6"," -84,1","34",
"17/12/2020  14:24:00,000","    81000000"," -92,2","   5,0","-105,6"," -85,8","34",
"17/12/2020  14:24:00,000","    82000000"," -92,1","   4,7","-102,6"," -85,3","34",
"17/12/2020  14:24:00,000","    83000000"," -92,2","   5,5","-103,4"," -82,9","34",
"17/12/2020  14:24:00,000","    84000000"," -91,0","   5,5","-106,4"," -79,3","34",
"17/12/2020  14:24:00,000","    85000000"," -92,6","   6,3","-106,2"," -80,8","34",
"17/12/2020  14:24:00,000","    86000000"," -91,4","   6,6","-109,5"," -82,5","34",
"17/12/2020  14:24:00,000","    87000000"," -82,3","   3,4"," -94,0"," -77,6","34",
"17/12/2020  14:24:00,000","    88000000"," -76,0","   3,3"," -86,6"," -72,1","34",
"17/12/2020  14:25:00,000","    54000000"," -91,7","   4,1","-100,4"," -85,0","34",
"17/12/2020  14:25:00,000","    55000000"," -92,9","   5,8","-105,4"," -83,3","34",
"17/12/2020  14:25:00,000","    56000000"," -91,7","   4,9","-106,9"," -83,7","34",
"17/12/2020  14:25:00,000","    57000000"," -92,5","   5,7","-108,3"," -82,7","34",
"17/12/2020  14:25:00,000","    58000000"," -93,0","   6,8","-110,4"," -83,5","34",
"17/12/2020  14:25:00,000","    59000000"," -92,6","   5,7","-104,7"," -81,4","34",
"17/12/2020  14:25:00,000","    60000000"," -92,3","   6,7","-124,2"," -84,2","34",
"17/12/2020  14:25:00,000","    61000000"," -91,6","   4,5"," -99,7"," -84,7","34",
"17/12/2020  14:25:00,000","    62000000"," -91,0","   3,9"," -98,4"," -84,0","34",
"17/12/2020  14:25:00,000","    63000000"," -90,4","   4,2"," -99,8"," -82,3","34",
"17/12/2020  14:25:00,000","    64000000"," -91,1","   6,5","-110,4"," -82,7","34",
"17/12/2020  14:25:00,000","    65000000"," -90,1","   5,9","-111,3"," -81,3","34",
"17/12/2020  14:25:00,000","    66000000"," -90,9","   4,4","-101,8"," -82,4","34",
"17/12/2020  14:25:00,000","    67000000"," -91,8","   4,3","-106,6"," -84,8","34",
"17/12/2020  14:25:00,000","    68000000"," -92,4","   4,6","-105,6"," -83,7","34",
"17/12/2020  14:25:00,000","    69000000"," -92,1","   5,0","-105,5"," -84,1","34",
"17/12/2020  14:25:00,000","    70000000"," -92,3","   5,2","-105,9"," -84,6","34",
"17/12/2020  14:25:00,000","    71000000"," -92,6","   6,4","-112,0"," -82,4","34",
"17/12/2020  14:25:00,000","    72000000"," -90,9","   4,8","-104,1"," -83,8","34",
"17/12/2020  14:25:00,000","    73000000"," -92,7","   3,7","-101,3"," -87,0","34",
"17/12/2020  14:25:00,000","    74000000"," -92,5","   5,1","-105,9"," -87,0","34",
"17/12/2020  14:25:00,000","    75000000"," -92,5","   6,2","-108,2"," -84,2","34",
"17/12/2020  14:25:00,000","    76000000"," -93,2","   5,3","-104,2"," -83,4","34",
"17/12/2020  14:25:00,000","    77000000"," -93,1","   5,4","-107,8"," -83,0","34",
"17/12/2020  14:25:00,000","    78000000"," -94,6","   7,8","-122,0"," -85,1","34",
"17/12/2020  14:25:00,000","    79000000"," -91,5","   4,3","-105,4"," -85,2","34",
"17/12/2020  14:25:00,000","    80000000"," -91,1","   4,8","-105,0"," -83,0","34",
"17/12/2020  14:25:00,000","    81000000"," -91,8","   5,5","-109,9"," -82,8","34",
"17/12/2020  14:25:00,000","    82000000"," -93,1","   8,9","-131,3"," -81,7","34",
"17/12/2020  14:25:00,000","    83000000"," -90,7","   4,7","-102,9"," -84,0","34",
"17/12/2020  14:25:00,000","    84000000"," -92,8","   6,7","-118,1"," -83,9","34",
"17/12/2020  14:25:00,000","    85000000"," -94,5","   8,7","-131,8"," -85,4","34",
"17/12/2020  14:25:00,000","    86000000"," -91,9","   5,9","-107,6"," -83,9","34",
"17/12/2020  14:25:00,000","    87000000"," -83,4","   3,8"," -97,6"," -77,6","34",
"17/12/2020  14:25:00,000","    88000000"," -76,1","   2,8"," -82,6"," -71,5","34",
"17/12/2020  14:26:00,000","    54000000"," -92,7","   6,5","-110,7"," -82,7","34",
"17/12/2020  14:26:00,000","    55000000"," -91,3","   5,0","-101,0"," -81,2","34",
"17/12/2020  14:26:00,000","    56000000"," -92,0","   5,2","-102,4"," -82,7","34",
"17/12/2020  14:26:00,000","    57000000"," -93,3","   5,1","-106,0"," -83,8","34",
"17/12/2020  14:26:00,000","    58000000"," -93,3","   6,3","-111,8"," -81,8","34",
"17/12/2020  14:26:00,000","    59000000"," -91,4","   5,6","-103,4"," -81,4","34",
"17/12/2020  14:26:00,000","    60000000"," -91,5","   4,6","-100,8"," -80,9","34",
